ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5Description,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberOutOfArea,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers
373463,,,,Program,CentroNia,372153,DCAP,Centronia Community Technology Center,1420 Columbia Road Nw,,Washington,DC,20009,United States,"1420 Columbia Road, NW",,Washington,-1,DC,20009,United States,,,,,-1,,-1,38.908569,-77.017972,"7:00 am - 6:00 pm, Monday - Friday",(202) 332-4200,Main Number,,,,,,,,,(202) 745-2562,,,,,,,info@centronia.org,http://www.centronia.org,Inactive,,"CentroNas nationally accredited after school program, Studio ROCKS (Reading, Outdoors, Knowledge, Self-Discover) was implemented in 1990 and currently serves 300 children. Studio ROCKS is a multi-disciplinary before and after program that weaves together ",373463,District of Columbia,,Must be between ages  5 - 14,Myrna Peralta,Chief Executive Officer,,,,,,,,,,,,,,,No,No,NW                     ,,Transportation Available: 2                      ,,"Sliding scale, $0.00 - $120.00                                                                                                ","Telephone, By Appointment, Walk-In",,,"English, Spanish",,,,,2/22/11 0:00,2/22/12 0:00,,,,,
372566,11th Wing Family Support Center - Air Force Career Focus,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force C,Bolling Air Force Base,118 Brookley Avenue,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake Number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,"Provides assistance to military family members, active duty and retirees in securing employment.<br /><br />Home visits: Downtown               ",372566,,,Active and retired military and their families.,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Telephone, Walk-In",,,,,,,,,,6/16/99 0:00,12/03/2011 14:36,,  ,
372568,11th Wing Family Support Center - Air Force Family Life Education,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force F,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake Number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,"Provides training to enhance development of life skills.  Workshops include: parenting, stress and anger management, conflict resolution, and couples communication.",372568,,,"Active military and their families, military retirees and Dept. of Defense civilians.",,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,No fee                                                                                                                        ,"Telephone, Walk-In",,,,,,,,,,6/16/99 0:00,11/01/2011 15:20,,,
372561,11th Wing Family Support Center - Air Force Financial Management,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force F,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,District Of Columbia,DC,20032,United States,,,,,,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,"Provides a variety of financial management services: individual/family counseling, pro-active educational workshops, and Air Force Aid Society assistance.",372561,,,Active military and their families,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,No fee                                                                                                                        ,"By Appointment, Walk-In for emergency assistance",,,,,,,,,,6/16/99 0:00,8/17/11 13:08,,,
372571,11th Wing Family Support Center - Air Force Information Referral,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force I,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake Number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,Provides information and referral for the full range of social service and human service issues.  Refers to sources both on and off the installation.,372571,,,"Active military, veterans, Dept. of Defense civilians, and their families.",,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,No fee                                                                                                                        ,"Telephone, Walk-In",,,,,,,,,,6/16/99 0:00,11/01/2011 15:29,,,
372572,11th Wing Family Support Center - Air Force Relocation Assistance,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force R,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake Number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,"Provides assistance to military moving in and out of the Washington, DC area.",372572,,,Active military and their families.,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,No fee                                                                                                                        ,"Telephone, Walk-In",,,,,,,,,,6/16/99 0:00,11/01/2011 15:39,,,
372579,11th Wing Family Support Center - Air Force Transition Assistance,,,Program,"11th Wing Family Support, Bolling Air Force Base",371920,DCAP,11Th Wing Family Support Center - Air Force T,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,DC,20032,United States,Bolling Air Force Base,118 Brookley Avenue Suite 100,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,"7:30 am - 4:00 pm, Monday - Friday",(202) 767-0450,Intake Number,,,,,,,,,(202) 767-9213,,,,,,,,,Active,,Provides assistance to military members and civilians separating from government service.,372579,,,Active military,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,No fee                                                                                                                        ,By Appointment,,,,,,,,,,6/16/99 0:00,11/02/2011 16:03,,,
371920,"11th Wing Family Support, Bolling Air Force Base",,,Agency,"11th Wing Family Support, Bolling Air Force Base",0,DCAP,Bolling A. F. Career Focus11th Wing Family,Bolliing Air Force Base,118 Brookley Ave Suite 100,Washington,DC,20332,United States,Bolling Air Force Base,"118 Brookley Avenue, Suite 100",Washington,District Of Columbia,DC,20332,United States,,,,,DC,,United States,,,"8:00 am - 5 :00 pm, Monday - Friday                                                                                                         ",(202) 767-0450,Business Number                         ,,,,,,,,,(202) 767-9213,,,,,,,,http://www.cnic.navy.mil/ndw/,Active,,,371920,,,,             ,                       ,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,,,,,,,,,,,6/16/99 0:00,8/17/11 13:08,,"Provides comprehensive social services to military members, retirees, US Department of Defense civilians and their families.",
1110244,2-1-1 Maryland,"211 Maryland, Maryland 211",,Agency,2-1-1 Maryland,0,,,"100 S Charles Street, #500",,Baltimore,MD,21203,United States,,,,-1,DC,,United States,,,,,MD,,United States,,,,,,,,,,,,,,,,,211,,,,211Maryland@gmail.com,http://www.211MD.org,Active,,"2-1-1 Maryland provides a link to community health and human service resources statewide 24 hours a day, 7 days a week, in over 150 languages.",1110244,,,None,,,,,Tom Page,Executive Director,211Maryland@gmail.com,410-864-8043,,,None or unknown,,,,None or unknown,,No,No,,,,,Free,Telephone service only,,,over 150 languages,,,,,,,2/15/11 7:53,,,,
1110245,2-1-1 Maryland,"211 Maryland, Maryland 211, Maryland Information Network 211",,Program,2-1-1 Maryland,1110244,,,"100 S Charles Street, #500",,Baltimore,MD,21203,United States,,,,-1,MD,,United States,,,,,DC,,United States,,,,,,,,,,,,,,,,,211,,,,211Maryland@gmail.com,http://www.icarol.info/PublicResourceDirectoryFrm.aspx?org=2046,Active,," <br />		<div> <br />				<table> <br />						<tbody> <br />								<tr> <br />										<td>2-1-1 Maryland provides a link to community health and human service resources statewide 24 hours a day, 7 days a week, in over 150 languages.</td> <br />								<",1110245,,,None,,,,,Tom Page,Executive Director,211Maryland@gmail.com,410-864-8043,,,None or unknown,,,,None or unknown,,No,No,,,,,Free,Telephone service and searchable online database.,,,Over 150 languages.,,,,,,,2/15/11 7:58,,,,
373916,2-1-1 VIRGINIA,"211, 2-1-1, Dial 2-1-1",,Program,2-1-1 VIRGINIA,372273,DCAP,Council Of Community Services 211 Virginia Coordinator,Po Box 598,,Roanoke,VA,24004,United States,Po Box 598,,Roanoke,Salem,VA,24004,United States,,,,,DC,,United States,37.27124,-79.94202,Open 24 hours,,,,,,,,,,,,,,211,,(800) 230-6977,,barbp@councilofcommunityservices.org,http://www.211virginia.org,Active,,"2-1-1 is an easy to remember phone number connecting people with free information on available community services. When you dial 2-1-1, a trained professional listens to your situation and suggests sources of help using one of the largest databases of hea",373916,Virginia,,,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,Free,Telephone access only,,,150 languages offered through Language Line,,,,,,,06/05/2006 00:00,,,,
372273,2-1-1 VIRGINIA,"211, 2-1-1, Dial 2-1-1",,Agency,2-1-1 VIRGINIA,0,DCAP,Council Of Community Services211 Virginia Coordinator                     ,Po Box 598,,Roanoke,VA,24004,United States,Po Box 598,,Roanoke,Salem,VA,24004,United States,,,,,DC,,United States,37.27124,-79.94202,Open 24 Hours                                                                                                                               ,,,,,,,,,,,,,,211,,(800) 230-6977,,barbp@councilofcommunityservices.org,http://www.211virginia.org,Active,,"2-1-1 is an easy to remember phone number connecting people with free information on available community services. When you dial 2-1-1, a trained professional listens to your situation and suggests sources of help using one of the largest databases of hea",372273,,,None,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,Free,Telephone access only,,,140 languages offered through Language Line,,,,,,,06/05/2006 00:00,2/29/12 10:02,,"Offers help to Virginians in need of social service information and referrals by dialing 2-1-1.  Connects callers from Central, Northwest, Southside/Richmond, Southeast, and Southwest Virginia with free information on available community resources. ",
373708,AARP - Driver Safety Program,"AARP, American Association for Retired Persons, 55 Alive Driving Program",,Program,AARP DC,371796,DCAP,Aarp - Dc State Office,601 E Street Nw,,Washington,DC,20049,United States,"601 E Street, NW",,Washington,District Of Columbia,DC,20049,United States,,,,,DC,,United States,38.89609,-77.02021, Monday - Friday 9:00 am - 4:00 pm,(888) 227-7669,Intake Number (Site Locator),(202) 434-7700,AARP DC State Office,,,(888) 687-2277,AARP Headquarters,,,(703) 739-0064,,,,,,,member@aarp.org,http://www.aarp.org/55alive,Active,,"Offers motorists classes to refine existing driving skills and to develop safe, defensive driving techniques.<br /><br />Home visits: Downtown               ",373708,DC Metro Area,,"Ages 50 and older, available to AARP members and non-members",Mima Castaldi,State Director,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,Flat fee,Telephone,,,,,,,,,,11/09/2000 00:00,4/18/12 9:27,,,
373705,AARP - Grandparent Information Center,"AARP, GIC, American Association for Retired Persons",,Program,AARP DC,371796,DCAP,American Association For Retired Persons   Dc,601 E  St  Nw,Suite A1 200,Washington,DC,20049,United States,"601 E Street, NW",,Washington,District Of Columbia,DC,20049,United States,,,,,DC,,United States,38.89609,-77.02021,"9:00 am - 4:00 pm, Monday - Friday",(202) 434-2296,Intake Number,,,,,(888) 687-2277,AARP Headquarters,,,(202) 434-6470,,,,,,,member@aarp.org,http://www.aarp.org/confacts/programs/gic.html,Active,,"Provides information for grandparents raising grandchildren, grandparents who are concerned about their visitation rights with their grandchildren, step-grandparents, and traditional grandparents who want to have a positive role in their grandchildren's l",373705,DC Metro Area,,,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,None,Telephone,,,,,,,,,,11/08/2000 00:00,4/18/12 9:28,,,
