,,"Kengetallen clusters provincies",,,,2011,,,,,,,,,,,,,
,,"bedragen in Euro's (afgerond) per inwoner (exclusief G4 en artikel 12-gemeenten)",,,,,,,,,,,,,,,,,"inwoners"
,,,,,,,,,,,,,,,,,,,
,,"provincie","provincie","provincie","provincie","provincie","provincie","provincie","provincie","provincie","provincie","provincie","provincie",,,,,,
,,"A","B","C","D","E","F","G","H","I","J","K","L",,,,,,
,,"Groningen","Friesland","Drenthe","Overijssel","Gelderland","Utrecht","Noord-Holland","Zuid-Holland","Zeeland","Noord-Brabant","Limburg","Flevoland",,,,,,
"NR.","Cluster",,,,,,,,,,,,,,,,,,
0,"Inkomstenclusters:",,,,,,,,,,,,,,,,,,
1,"Onroerendezaakbelastingen",208,173,163,179,190,174,184,183,187,169,187,185,,,,,,
2,"Overige Eigen Middelen",7,55,52,66,37,72,121,127,122,96,60,56,,,,,,
3,"Mutaties Reserves",23,49,56,30,102,35,3,25,-6,41,47,58,,,,,,
4,"Algemene Uitkering",1176,1076,961,993,933,857,928,957,1012,932,1024,1018,,,,,,
5,"Totaal",1414,1353,1232,1268,1262,1138,1236,1292,1315,1238,1318,1317,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,"Uitgavenclusters:",,,,,,,,,,,,,,,,,,
8,"Bestuur",,,,,,,,,,,,,,,,,,
9,"Bestuursorganen",-48,-57,-49,-44,-52,-55,-51,-53,-49,-49,-51,-35,,,,,,
10,"Algemene ondersteuning",-121,-118,-32,-92,-121,-73,-77,-101,-93,-72,-134,-128,,,,,,
11,"Voorzieningen bevolking",,,,,,,,,,,,,,,,,,
12,"Bevolkingszaken",-27,-22,-30,-21,-20,-22,-26,-30,-27,-22,-29,-25,,,,,,
13,"Werk en Inkomen",-157,-130,-132,-114,-106,-89,-92,-116,-102,-100,-133,-95,,,,,,
14,"Maatschappelijke zorg",-333,-294,-319,-315,-292,-242,-271,-271,-317,-320,-313,-265,,,,,,
15,"Educatie",-127,-151,-137,-135,-137,-127,-125,-133,-123,-128,-102,-167,,,,,,
16,"Kunst",-33,-17,-23,-29,-19,-18,-27,-20,-24,-33,-45,-20,,,,,,
17,"Ontspanning",-116,-111,-105,-117,-100,-94,-99,-99,-104,-102,-98,-130,,,,,,
18,"Oudheid",-24,-15,-6,-16,-19,-15,-18,-21,-30,-21,-19,-8,,,,,,
19,"Bebouwing en omgeving",,,,,,,,,,,,,,,,,,
20,"Openbare orde en veiligheid",-76,-68,-74,-85,-80,-89,-102,-95,-99,-87,-92,-81,,,,,,
21,"Ruimtelijke ordening en stadsvernieuwing",-36,-38,-44,-29,-41,-37,-44,-36,-39,-42,-48,-42,,,,,,
22,"Volkshuisvesting",-22,-31,-16,-23,-22,-20,-27,-22,-23,-14,-18,-18,,,,,,
23,"Fysiek milieu",-30,-33,-27,-32,-34,-30,-31,-30,-32,-31,-32,-28,,,,,,
24,"Reiniging",13,8,16,9,3,14,12,12,10,9,17,14,,,,,,
25,"Openbare ruimte",,,,,,,,,,,,,,,,,,
26,"Riolering",5,6,8,5,4,2,7,3,1,2,8,4,,,,,,
27,"Groen",-122,-107,-136,-104,-89,-94,-93,-103,-123,-87,-93,-86,,,,,,
28,"Wegen",-154,-160,-120,-124,-133,-142,-162,-163,-139,-137,-133,-194,,,,,,
29,"Water",-6,-14,-7,-3,-4,-8,-11,-15,-4,-5,-1,-13,,,,,,
30,"Totaal",-1 414,-1 352,-1 233,-1 269,-1 262,-1 139,-1 237,-1 293,-1 317,-1 239,-1 316,-1 317,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,"Totaal"," 0"," 1",- 1,- 1," 0",- 1,- 1,- 1,- 2,- 1," 2"," 0",,,,,,
33,,,,,,,,,,,,,,,,,,,
34,"Aantal inwoners","566,216","626,948","491,524","1,130,345","1,993,022","913,665","1,901,627","2,412,118","381,409","2,444,594","1,122,701","387,881",,,,,,
35,"Aantal gemeenten",22,26,12,25,55,25,57,70,13,67,33,6,,,,,,
