id,景點編號,景點中文名稱,景點特色詳細文字簡述,開放時間,景點之管理權責單位代碼,X坐標,Y坐標,景點分類代碼1,Changetime,地址,景點服務電話,停車資訊,主要停車場X坐標,主要停車場Y坐標,票價及相關價格資料,警告及注意事項,常用搜尋關鍵字
v_1,C1_395000000A_000001,雲嘉南濱海國家風景區管理處,「雲嘉南濱海國家風景區」以台17線公路為東界，北從雲林縣牛挑灣溪，南至臺南市鹽水溪的濱海地區，是台灣第12個國家風景區，中段包含北門、將軍、七股三個區，有潟湖與沙洲的地理景觀、紅樹林與黑面琵鷺之景觀生態、廟宇及濱海遊憩據點、鹽田產業。位在北門區北門里的風景區管理處，原為北門鹽場日式風格的老建築辦公所，廣場貼滿了早期瓦盤鹽田的瓦片，後方則是非常有歷史的北門出張所，原為鹽場的集會所，建於1923年，完整呈現日治辦公廳的樣貌，整棟建築是以榫接方式建築的木造平房，相當樸實，四周環境非常清幽。 ,一~日08:30~17:30,395000000A,120.124206,23.268774,14,2012/09/26 12:00:00,臺南市北門區北門里舊埕119號,886-6-7861000,停車請停路邊,,,,,
v_2,C1_395000000A_000002,蘆竹溝,蘆竹溝位於將軍溪出海口北岸，早年此地的溝渠眾多，溝上蘆竹仔多而得名，庄北蘆竹溝漁港是昔日臺南市3大漁港之一，今港已衰，漁船多為機器膠筏，是全市最大的膠筏漁港。,一~日00:00~24:00,395000000A,120.096037,23.234509,12,2012/09/26 12:00:00,臺南市北門區北門里200號,886-6-7861017,設有小型停車場,,,,海邊風大，注意保暖與防曬,
v_3,C1_395000000A_000003,馬沙溝濱海遊樂區,馬沙溝這個沿海的傳統漁村，是昔日以「綠汕帆影」著稱，位於海濱的馬沙溝濱海遊樂區，擁有潔淨細柔的沙灘，清澈乾淨的海水、優美的海濱景色，在前將軍鄉公所的重新規劃下，增加許多的新穎遊樂設施，區內規劃設施有：游泳區、露營區、烤肉區、親子遊戲區、沙灘排球場、水上摩托車、兒童滑水道、觀海亭、防風林區、野生鳥類保護區、遊客服務中心附設會議室及KTV聯誼等設備，沙灘北面的野生鳥類保護區，可讓您對野鳥生態作充分的了解 ，體會生態保育的重要，別忘了在夕陽餘暉，彩霞滿天中，與您心愛的人，來趟醉人的沙灘漫步。 ,"一~日09:00~18:00
",395000000A,120.083691,23.216605,12,2012/09/26 12:00:00,臺南市將軍區平沙里140號,886-6-7930937,,,,,,
v_4,C1_395000000A_000004,將軍漁港,廣達80公頃的將軍漁港是現代化的假日漁市、漁貨直銷中心及旅遊服務中心，遊客可於每日下午2點到漁貨拍賣場參與熱鬧的漁貨拍賣，一簍簍分裝好的新鮮的魚、蝦、蟹、貝類，拍賣員會沿著漁獲前進，買魚的人就用不同的方式喊價、熱鬧有趣，而在觀光休閒漁樓一樓，除了可買到新鮮直銷的魚貨、農漁特產、地方小吃等。入口的鹽興橋是釣客們的著名釣點之一，您可以順道來試試手氣。 ,一~日00:00~24:00,395000000A,120.088592,23.211167,12,2012/09/26 12:00:00,臺南市將軍區平沙里156號,886-6-7930460,設有大型停車場,,,,海邊風大，注意保暖與防曬,
v_5,C1_395000000A_000005,七股觀海樓,觀海樓就位於鹽埕安檢所旁，是一座三層樓高的瞭望台，位於潟湖的中心，可觀賞到七股的潟湖美景，雖位處偏僻，但是在一望無際的鹽田裡，就可以看到那唯一的平台，矗立於鹽田之中，在黃昏時，更是欣賞夕照美景的熱門景點，登高可遠眺潟湖全景，湖內蚵架片片，特殊的淺海養殖景觀。,一~日00:00~24:00,395000000A,120.077106,23.144908,12,2012/09/26 12:00:00,臺南市七股區鹽埕里68號,886-6-7801162 ,,,,,,
v_6,C1_395000000A_000006,北門潟湖,北門潟湖從北門海埔新生地延伸到馬沙溝，介於王爺港汕、青山港汕與內陸之間，長約6公里，寬約2公里，是倒風內海僅存的殘跡，因溼地堆積作用旺盛，所以此處蘊含豐富的生態與水產資源，產量不少的野生蚵、赤嘴仔、蝦蟹與文蛤等，這片魚產豐盛的潮間帶，自然就成為北門地區民眾設定置網與捕捉海產的最佳天然漁場，北門潟湖緊臨井仔腳瓦盤鹽田，人為破壞較少，仍保有原有的風光，是一處非常美麗而少有的溼地，景色一日數變，尤其是欣賞落日的最佳景點之一。,一~日00:00~24:00,395000000A,120.107072,23.257789,12,2012/09/26 12:00:00,台南市北門區井仔腳井仔腳瓦盤鹽田旁海堤,886-6-7861000,停車可停興安宮前廣場及路邊,,,,海邊風大，注意保暖與防曬，海堤上要小心墜落,
v_7,C1_395000000A_000007,南鯤鯓代天府,南鯤鯓代天府創建於明永曆15年（1661），佔地約6萬坪，供奉李、池、吳、朱、范5位王爺，又稱五府王爺廟，是台灣歷史最為悠久也最大規模的王爺總廟，每到王爺誕辰日（一年有4個進香期），當地會舉行盛大的祭典，也就是王爺祭，各地王爺廟都會回來進香，廟內雕刻精緻、彩繪與傳統剪黏非常特別，尤以正殿上和三川門最有特色。內政部在1981年核定為二級古蹟。,一~日00:00~24:00,395000000A,120.141587,23.286469,04,2012/09/26 12:00:00,臺南市北門區鯤江976號,886-6-7864711,大型停車場,,,,,
v_8,C1_395000000A_000008,東隆宮王爺信仰文物館,三寮灣東隆宮為了弘揚此地的王爺信仰而設置東隆文化中心，王爺信仰文物館位於三樓，主要以王爺信仰特色淵源為主，館內收藏豐富，均為各種王爺信仰文物與重要文獻及圖像，而館內的相關木雕，更是栩栩如生。,一~日08:30~16:30,395000000A,120.111798,23.238327,01,2012/09/26 12:00:00,臺南市北門區三光里三寮灣127-3號,886-6-7850135,廟前廣場有小型停車場,,,門票100元,,
v_9,C1_395000000A_000009,井仔腳瓦盤鹽田,「井仔腳瓦盤鹽田」是北門的第一座鹽田，也是現存最古老的瓦盤鹽田遺址，原為清領時期的瀨東鹽場，1818年遷此至今未再移位，而且清一色為瓦盤鹽田，呈現出馬賽克拼貼般的美麗藝術，近來因人工成本過高的原因，於2002年結束了長達338年的曬鹽業，使原來遍布於此處的鹽田，漸漸荒廢棄置，管理處為延續其曬鹽產業文化的精神，將鹽場復育，而現已成為雲嘉南濱海國家風景區內最具特色的觀光鹽田，更恢復了居民共有的生活回憶，遊客在此可體驗傳統曬鹽、挑鹽、收鹽的樂趣，是一處適合親子同遊的深度景點。,一~日00:00~24:00,395000000A,120.108193,23.259578,01,2012/09/26 12:00:00,台南市北門區永華里井仔腳興安宮旁,886-6-7861000,停車可停興安宮前廣場及路邊,,,,冬日風大，夏天日豔，注意保暖與防曬,
v_10,C1_395000000A_000010,雙春濱海遊憩區,雙春濱海遊憩區界於八掌溪、急水溪之間，是臺南市最北端的海濱，距離南鯤鯓代天府約五分鐘車程，交通方便，道路設施良好。海岸線砂質 平直細柔，所以有「西濱明珠」的美稱。雙春海邊，由於自然景觀與生態豐富，政府乃在此規劃為台南沿海唯一的濱海遊憩區，計劃開發八十公頃，區內規劃服務中心、停車場、沙灘運動區、海釣區、賞鳥區、自然生態展示區、棧道是新興的旅遊景點。入口處有復育的紅樹林保護區，種有海茄冬、水筆仔、五梨跤、欖李等，此外還可看到有許多招潮蟹與彈塗魚。 ,一~日00:00~24:00,395000000A,120.112587,23.305424,02,2012/09/26 12:00:00,臺南市北門區雙春里雙春73-10號,886-6-6322231,,,,,目前規劃整修中，僅部分開放，開放範圍公告於現地，將俟後續完工情形，逐步開放，為了您的安全，造成不便，敬請見諒.,西濱明珠
