Combined Land--Ocean Temperature Anomaly (C) CR 1200km 1880 to 2012.,,,,,,,,,,,,,,,,,,
GLOBAL Temperature Anomalies in .01 C     base period: 1951-1980,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-43,-27,-26,-36,-31,-39,-24,-14,-29,-23,-20,-23,-28,****,*****,-31,-25,-24
1881,-20,-24,-1,-5,-6,-32,-14,-12,-26,-29,-38,-30,-20,-19,-22,-4,-19,-31
1882,-13,-2,-10,-29,-25,-34,-27,-14,-25,-38,-37,-52,-26,-24,-15,-21,-25,-33
1883,-46,-41,-18,-22,-27,-11,-10,-21,-31,-34,-33,-29,-27,-29,-47,-23,-14,-32
1884,-27,-19,-35,-39,-37,-36,-28,-19,-32,-34,-36,-32,-31,-31,-25,-37,-28,-34
1885,-61,-33,-24,-40,-33,-42,-30,-26,-22,-24,-19,-6,-30,-32,-42,-32,-33,-22
1886,-37,-44,-28,-21,-19,-33,-8,-22,-20,-31,-33,-30,-27,-25,-29,-23,-21,-28
1887,-64,-51,-35,-42,-29,-24,-8,-27,-25,-38,-32,-40,-35,-34,-48,-36,-20,-32
1888,-48,-47,-46,-36,-29,-25,-20,-23,-19,-11,-6,-22,-28,-29,-45,-37,-22,-12
1889,-23,8,-2,-3,-7,-13,-17,-25,-22,-30,-37,-34,-17,-16,-12,-4,-18,-30
1890,-52,-41,-34,-37,-50,-39,-31,-38,-42,-24,-51,-35,-40,-39,-42,-41,-36,-39
1891,-49,-54,-17,-31,-21,-24,-24,-19,-17,-24,-39,-10,-27,-29,-46,-23,-22,-26
1892,-38,-11,-35,-44,-33,-23,-32,-29,-22,-29,-52,-48,-33,-30,-20,-37,-28,-34
1893,-86,-59,-20,-37,-39,-29,-11,-27,-25,-18,-18,-35,-34,-35,-64,-32,-22,-21
1894,-51,-33,-26,-45,-40,-44,-21,-26,-35,-28,-39,-29,-35,-35,-40,-37,-30,-34
1895,-56,-50,-31,-28,-31,-23,-21,-19,-12,-17,-14,-21,-27,-28,-45,-30,-21,-14
1896,-26,-20,-32,-38,-17,-15,-8,-14,-10,-1,-15,-13,-17,-18,-22,-29,-12,-9
1897,-22,-19,-18,-8,-5,-13,-5,-10,-15,-11,-19,-17,-14,-13,-18,-11,-10,-15
1898,-7,-26,-48,-25,-36,-18,-21,-22,-20,-29,-39,-28,-27,-26,-17,-36,-20,-30
1899,-21,-37,-29,-16,-17,-28,-9,-6,-7,-2,13,-27,-16,-16,-29,-21,-15,1
1900,-34,5,-1,-11,-8,-10,-10,-10,-6,2,-13,-7,-9,-10,-19,-7,-10,-6
1901,-20,0,3,-3,-14,-13,-17,-18,-22,-26,-23,-25,-15,-13,-9,-5,-16,-24
1902,-13,6,-23,-25,-28,-29,-17,-26,-26,-32,-42,-46,-25,-23,-11,-25,-24,-33
1903,-25,6,-15,-36,-32,-42,-28,-37,-43,-41,-31,-45,-31,-31,-22,-28,-36,-38
1904,-56,-45,-34,-43,-41,-35,-32,-33,-37,-30,-12,-21,-35,-37,-48,-39,-33,-26
1905,-30,-55,-21,-35,-28,-26,-22,-16,-16,-25,-9,-20,-25,-25,-35,-28,-21,-17
1906,-27,-30,-16,-3,-20,-13,-21,-12,-21,-15,-38,-14,-19,-20,-26,-13,-15,-25
1907,-42,-49,-27,-46,-49,-44,-38,-39,-28,-25,-44,-43,-40,-37,-35,-41,-41,-32
1908,-41,-26,-46,-41,-33,-26,-23,-33,-22,-30,-40,-39,-33,-34,-37,-40,-27,-30
1909,-56,-38,-43,-45,-41,-40,-33,-20,-22,-22,-18,-39,-35,-35,-44,-43,-31,-21
1910,-32,-31,-34,-34,-34,-33,-20,-23,-29,-31,-42,-56,-33,-32,-34,-34,-26,-34
1911,-53,-47,-50,-48,-41,-38,-24,-27,-23,-18,-17,-18,-34,-37,-52,-46,-30,-19
1912,-23,-9,-30,-21,-20,-19,-38,-52,-43,-51,-31,-34,-31,-30,-16,-24,-36,-42
1913,-38,-34,-38,-34,-38,-42,-27,-23,-25,-31,-18,-2,-29,-32,-35,-37,-31,-24
1914,-3,-10,-20,-23,-15,-15,-15,-13,-16,0,-18,-14,-14,-13,-5,-19,-14,-12
1915,-21,-6,-13,1,-2,-2,-1,-10,-5,-19,-11,-18,-9,-9,-14,-4,-4,-12
1916,-17,-15,-32,-25,-31,-37,-27,-19,-25,-18,-35,-63,-29,-25,-17,-29,-28,-26
1917,-40,-49,-48,-37,-55,-35,-17,-20,-14,-35,-29,-69,-37,-37,-50,-47,-24,-26
1918,-48,-43,-28,-43,-45,-34,-28,-37,-22,-7,-19,-33,-32,-35,-54,-39,-33,-16
1919,-16,-19,-18,-11,-17,-18,-18,-14,-11,-18,-44,-33,-20,-20,-23,-15,-17,-24
1920,-13,-20,0,-14,-11,-19,-24,-19,-19,-25,-28,-43,-20,-19,-22,-8,-21,-24
1921,-4,-16,-13,-16,-19,-13,-1,-27,-20,-7,-16,-16,-14,-16,-21,-16,-13,-14
1922,-31,-35,-19,-24,-30,-25,-16,-26,-29,-25,-17,-18,-25,-24,-28,-25,-22,-23
1923,-23,-26,-23,-35,-35,-22,-27,-30,-26,-8,2,-2,-21,-23,-23,-31,-26,-10
1924,-22,-24,-9,-32,-21,-20,-18,-21,-24,-24,-13,-31,-21,-19,-16,-21,-20,-20
1925,-31,-26,-17,-18,-23,-28,-20,-14,-16,-19,1,16,-16,-20,-29,-19,-21,-11
1926,21,14,23,-8,-14,-15,-9,1,-4,1,-5,-19,-1,2,17,1,-8,-3
1927,-19,-5,-30,-23,-20,-17,-6,-15,-8,3,-1,-30,-14,-13,-14,-24,-13,-2
1928,3,-2,-18,-24,-25,-28,-11,-16,-11,-12,0,-8,-13,-15,-10,-22,-18,-8
1929,-32,-42,-24,-31,-31,-32,-26,-23,-20,-7,-1,-42,-26,-23,-27,-28,-27,-9
1930,-16,-14,-2,-15,-17,-15,-9,-2,-8,-7,17,-1,-7,-11,-24,-11,-8,1
1931,0,-16,-1,-12,-10,3,11,4,-7,5,-1,2,-2,-2,-6,-8,6,-1
1932,16,-13,-12,-3,-11,-19,-11,-10,2,3,-16,-16,-8,-6,2,-9,-14,-4
1933,-23,-19,-18,-16,-16,-19,-7,-11,-18,-14,-25,-40,-19,-17,-19,-17,-12,-19
1934,-16,1,-25,-23,-5,-6,-1,-4,-14,0,10,3,-7,-10,-18,-18,-4,-1
1935,-26,24,-4,-27,-24,-15,-11,-12,-14,1,-22,-13,-12,-11,0,-18,-13,-12
1936,-20,-28,-14,-11,-9,-7,11,1,-2,5,7,10,-5,-7,-20,-12,2,3
1937,1,20,-7,-9,1,4,8,9,17,14,19,-2,6,7,10,-5,7,17
1938,15,10,23,20,7,-3,7,6,13,20,16,-9,10,11,7,17,3,16
1939,0,-2,-15,-6,-2,0,4,-2,0,-5,5,36,1,-3,-4,-7,1,0
1940,-18,0,4,12,4,4,18,-2,8,2,6,11,4,6,6,7,6,5
1941,9,21,3,14,9,6,10,1,-13,19,11,21,9,9,14,9,6,6
1942,21,-9,-1,0,7,3,-1,-2,1,2,2,4,2,4,11,2,0,2
1943,-13,12,-8,8,16,1,15,6,4,23,18,25,9,7,1,6,7,15
1944,35,25,20,10,20,12,18,16,26,23,16,12,19,20,28,17,15,22
1945,16,11,12,17,1,-1,3,14,0,8,6,-9,7,8,13,10,5,5
1946,12,7,-5,6,-7,-15,-3,-19,-3,-5,-4,-27,-5,-4,3,-2,-13,-4
1947,-4,-2,14,5,-4,-8,-4,-4,-7,12,12,-11,0,-1,-11,5,-5,5
1948,12,-10,-9,-5,4,4,-11,-8,-9,1,-5,-20,-5,-4,-3,-3,-5,-4
1949,14,-16,-1,-9,-9,-21,-10,-5,-5,-1,-6,-11,-7,-7,-8,-6,-12,-4
1950,-25,-28,-3,-19,-14,-6,-8,-19,-11,-17,-29,-11,-16,-16,-21,-12,-11,-19
1951,-32,-40,-18,-9,1,-4,-2,11,9,14,3,17,-4,-7,-28,-9,2,8
1952,14,14,-8,5,-1,3,7,9,7,-5,-14,-4,2,4,15,-1,6,-4
1953,11,17,16,18,7,4,4,9,9,9,1,14,10,8,8,14,6,6
1954,-19,-5,-8,-10,-17,-13,-22,-18,-13,-3,12,-12,-11,-8,-3,-12,-18,-2
1955,18,-14,-30,-17,-19,-13,-8,11,-8,1,-22,-28,-11,-9,-3,-22,-3,-10
1956,-16,-25,-23,-22,-24,-14,-9,-26,-15,-22,-17,-8,-18,-20,-23,-23,-17,-18
1957,-6,3,2,9,11,19,4,16,8,4,14,16,8,6,-4,7,13,9
