Year|New dwellings|Other dwellings|All dwellings|First time buyers|Former owner occupiers
1986|44000|35000|36000|27000|45000
1987|50000|39000|40000|30000|50000
1988|62000|48000|49000|36000|62000
1989|74000|53000|55000|40000|71000
1990|75000|58000|60000|45000|76000
1991|74000|61000|62000|47000|76000
1992|73000|60000|61000|47000|77000
1993|73000|60000|62000|48000|80000
1994|75000|63000|65000|48000|85000
1995|79000|63000|66000|46000|87000
1996|85000|68000|71000|49000|91000
1997|93000|74000|76000|53000|96000
1998|97000|80000|82000|61000|101000
1999|112000|90000|93000|72000|111000
2000|122000|99000|102000|76000|122000
2001|132000|110000|113000|85000|132000
2002|158000|125000|128000|104000|139000
2003|186000|154000|156000|109000|165000
2004|208000|177000|180000|132000|191000
2005|212000|188000|191000|141000|209000
2006|222000|204000|205000|146000|239000
2007|224000|223000|223000|159000|258000
2008|221000|228000|228000|163000|263000
2009|199000|228000|226000|166000|260000
2010|214000|254000|251000|184000|284000
2011|223000|248000|245000|180000|280000
2012|231000|247000|246000|182000|283000
2013|240000|251000|251000|190000|292000
