LP,Bezeichnung,Kapitel/Titel,
A,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,,
A1,Grundfinanzierung MPG,,
A100,Grundfinanzierung MPG,300368540,
,,300389440,
A10000,Grundfinanzierung MPG,,
A2,Grundfinanzierung DFG,,
A200,Grundfinanzierung DFG,300368530,
,,300389430,
A20000,Grundfinanzierung DFG,,
A3,Grundfinanzierung FhG,,
A300,Grundfinanzierung FhG,300468560,
,,300489460,
A30000,Grundfinanzierung FhG,,
A4,Umstrukturierung der Forschung im Beitrittsgebiet,,
A40000,Umstrukturierung der Forschung im Beitrittsgebiet,,
A5,Aus- und Neubau von Hochschulen,,
A500,Aus- und Neubau von Hochschulen,300288260,
,,300388201,
,,300388207,
A50000,Aus- und Neubau von Hochschulen,,
A6,Überwiegend hochschulbezogene Sonderprogramme,,
A61000,Hochschulsonderprogramm I (HSP I),,
A62000,Hochschulsonderprogramm II (HSP II),,
A63000,Hochschulerneuerungsprogramm (HEP),,
A64000,Hochschulsonderprogramm III (HSP III),,
A650,DFG - Sonderprogramme,,
A65000,DFG - Sonderprogramme,,
A660,Hochschulpakt 2020,300368505,
A66010,Hochschulpakt 2020,,
A66091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
A670,Qualitätspakt Lehre,300368515,
A67000,Qualitätspakt Lehre,,
A67090,Projektstabskosten,,
A67092,Beratungsgremien (SK),,
A7,Förderung von Spitzenuniversitäten,,
A700,Förderung von Spitzenuniversitäten,300368504,
A70000,Förderung von Spitzenuniversitäten,,
B,Großgeräte der Grundlagenforschung,,
B0,Großgeräte der Grundlagenforschung,,
B010,Struktur und Wechselwirkung fundamentaler Teilchen,300468550,
,,300489450,
B01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,,
B01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,,
B01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,,
B01014,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten an anderen Zentren,,
B01019,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,,
B020,Hadronen- und Kernphysik,300468550,
,,300489450,
