

An der vertragsärztlichen Versorgung teilnehmende Ärztinnen und Ärzte mit Berechtigung zum Führen einer Schwerpunktbezeichnung (Anzahl). Gliederungsmerkmale: Jahre, Region, Geschlecht, Teilnahmestatus, Schwerpunktbezeichnung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
****************************************************************************************************
                                                                                                    
Die Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Teilnahmestatus:;Teilnehmende Ärztinnen und Ärzte insgesamt
""
;"";;;;;;;;;
;"1985";"1993";"2000";"2005";"2006";"2007";"2008";"2009";"2010";
"   Chirurgie (ohne Orthopädie) ...";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";
"      Gefäßchirurgie";".";"379";"575";"686";"704";"723";"729";"742";"733";
"      Herz- und Gefäßchirurgie";".";"1";"1";"";"";"";"";"";"";
"      Kinderchirurgie";".";"135";"123";"100";"88";"81";"81";"69";"65";
"      Plastische Chirurgie";".";"173";"236";"219";"214";"202";"192";"187";"179";
"      Thoraxchirurgie";".";"4";"68";"95";"110";"107";"110";"109";"100";
"      Thorax- und Kardiovaskularchirurgie";".";"49";"54";"52";"56";"51";"45";"40";"35";
"      Unfallchirurgie";".";"1.613";"2.003";"2.221";"2.279";"2.369";"2.466";"2.535";"2.590";
"      Visceralchirurgie";".";"";"388";"554";"594";"620";"640";"642";"641";
"   Frauenheilkunde und Geburtshilfe ...";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";
"      Gynäkologische Endokrinologie und Reproduktionsmedizin";".";"";"";"";"17";"40";"51";"81";"105";
"      Gynäkologische Onkologie";".";"";"";"";"55";"106";"148";"205";"243";
"      Spezielle Geburtshilfe und Perinatalmedizin";".";"";"";"";"12";"27";"36";"68";"90";
"   Hals-Nasen-Ohrenheilkunde ...";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";"      ";
"      Audiologie";".";"16";"21";"11";"10";"11";"8";"7";"7";
"      Phoniatrie";".";"26";"31";"22";"21";"21";"15";"14";"14";
"      Phoniatrie und Pädaudiologie";".";"76";"100";"80";"78";"83";"86";"85";"85";
